ISO3,year,eci
KAZ,2003,-0.2271307768
KAZ,2014,0.067291631
KAZ,2015,0.0690420916
KAZ,2012,0.0029067831
KAZ,2004,-0.3746633193
KAZ,2013,0.0145747482
KAZ,2016,-0.0469962787
KAZ,2005,-0.3788238039
KAZ,2017,-0.0957608569
KAZ,2006,-0.3091654075
KAZ,2009,-0.1784649515
KAZ,2018,-0.1963195987
KAZ,2022,-0.1766830722
KAZ,2023,-0.1789691506
KAZ,2007,-0.2864627811
KAZ,2020,-0.2424783793
KAZ,2019,-0.2462849737
KAZ,2008,-0.295701018
KAZ,2011,-0.2897469051
KAZ,2021,-0.2913412793
KAZ,2010,-0.3535992142
KGZ,2017,-0.0199963678
KGZ,2015,-0.0076325795
KGZ,2018,-0.0714105835
KGZ,2023,-0.111660897
KGZ,2021,-0.1142512451
KGZ,2019,-0.1927037209
KGZ,2013,-0.1686483994
KGZ,2014,-0.106689323
KGZ,2020,-0.2037489474
KGZ,2022,-0.1616210537
KGZ,2012,-0.2614612593
KGZ,2011,-0.3374365435
TJK,2021,-0.6566744617
TJK,2022,-0.8453295599
TJK,2023,-0.8879015728
TKM,2021,-0.5818491568
TKM,2002,-1.073265545
TKM,2020,-0.6208652071
TKM,2001,-1.2917925851
TKM,2003,-1.2439054643
TKM,2022,-0.7404536397
TKM,2023,-0.687693832
TKM,2004,-1.3029127604
TKM,2005,-1.347306853
TKM,2019,-0.8384834145
TKM,2016,-0.8720432638
TKM,2006,-1.3575121916
TKM,2017,-0.903081753
TKM,2018,-0.8423857718
TKM,2007,-1.2034827755
TKM,2010,-1.0362935915
TKM,2011,-0.979968268
TKM,2009,-1.1422634707
TKM,2008,-1.2691919409
TKM,2014,-1.0613264271
TKM,2015,-1.0347265175
TKM,2012,-1.2075311435
TKM,2013,-1.3874204876
UZB,1998,-0.1347236281
UZB,1999,-0.2230605383
UZB,2000,-0.247977115
UZB,2002,-0.4286711593
UZB,2001,-0.3856881981
UZB,2003,-0.4485477002
UZB,2005,-0.5470387188
UZB,2023,-0.2247765807
UZB,2004,-0.5757001498
UZB,2022,-0.3266096986
UZB,2006,-0.5699892161
UZB,2018,-0.4878186004
UZB,2021,-0.3961636984
UZB,2007,-0.5240590518
UZB,2019,-0.5481402425
UZB,2020,-0.5424367617
UZB,2009,-0.5181929939
UZB,2017,-0.5832019706
UZB,2012,-0.5499224292
UZB,2016,-0.5872409391
UZB,2008,-0.6191682076
UZB,2014,-0.5451937606
UZB,2010,-0.6715976064
UZB,2011,-0.6442502636
UZB,2015,-0.5595351169
UZB,2013,-0.6970149209
CHN,2022,1.1447621637
CHN,2023,1.1566897702
CHN,2021,1.1181727529
CHN,2019,0.9591412915
CHN,2020,1.0050275983
CHN,2018,0.9365239708
CHN,2012,0.7774632885
CHN,2014,0.8333937791
CHN,2013,0.775585193
CHN,2015,0.8429111868
CHN,2017,0.8582603124
CHN,2016,0.8437068598
CHN,2011,0.6725486789
CHN,2010,0.5842520437
CHN,2007,0.4546301191
CHN,2009,0.5630002911
CHN,2008,0.5238344224
CHN,2006,0.2742656684
CHN,2004,0.0272170757
CHN,2005,0.1286471588
CHN,2002,-0.2338497677
CHN,2003,-0.1638292891
CHN,2001,-0.209968405
CHN,1998,-0.4311325504
CHN,2000,-0.2989118725
CHN,1999,-0.4028239558
HKG,2022,1.1421674408
HKG,2023,1.1208217627
HKG,2018,0.9384543166
HKG,2021,1.0882109531
HKG,2020,0.9716449268
HKG,2016,0.8560993613
HKG,2019,0.9315903102
HKG,2017,0.8673607244
