ISO3,year,fiscal_balance_gdp,primary_fiscal_balance_gdp,net_debt_gdp,government_investment_gdp,private_sector_investment_gdp,output_gap_pct
DOM,2021,-2.92049125018443,0.175086333975687,49.0510659169129,NA,NA,NA
DOM,2022,-3.24898889040208,-0.399493490201577,46.6383467912295,NA,NA,NA
DOM,2023,-3.28049092100957,-0.12114260891586,47.2424709883517,NA,NA,NA
DOM,2024,-3.08704433747186,0.295992154617032,47.7407928353792,NA,NA,NA
DOM,2025,-3.41380869080503,0.223798774486217,48.4538167394293,NA,NA,NA
DZA,1991,1.52512880329813,3.19240345862054,NA,3.553662074,11.19403501,NA
DZA,1992,-1.04807057557139,0.932466910591341,58.0137227897198,3.862727396,10.92843269,NA
DZA,1993,-7.7900275793764,-5.69893213036699,68.2492708406893,4.584685294,10.04028054,NA
DZA,1994,-4.05091526087722,-1.50558852000795,90.6968297436309,4.264180102,10.56739496,NA
DZA,1995,-1.29794093737539,1.56062657268459,107.124921021804,3.929493857,10.78777284,NA
DZA,1996,2.69817487453355,5.88760494301396,90.4864521317798,3.982225451,10.65021555,NA
DZA,1997,2.19155578072173,5.81667393169296,64.4021855461705,4.610161912,9.978856933,NA
DZA,1998,-3.52011499574928,0.0865591374932707,67.175494337981,4.169086078,10.17007382,NA
DZA,1999,-1.83080819855517,1.68443431717084,75.6166765949131,4.801619414,9.468067701,NA
DZA,2000,8.91259697298143,12.5381786932681,57.9100763554494,5.517789769,9.095580902,NA
DZA,2001,3.15186109010645,6.3678296767792,44.5998999500367,5.535411637,9.418463275,NA
DZA,2002,0.214924557094244,3.01394204483324,41.6913826697567,6.256320347,9.094061886,NA
DZA,2003,7.21715486012522,9.22116107904862,28.2289656520884,6.733835101,8.201282431,NA
DZA,2004,6.36317998959742,7.6502014462459,21.7934976171442,6.780213748,8.713359665,NA
DZA,2005,11.4313254965814,12.3649330614136,1.87380500284231,7.544076333,8.271365794,NA
DZA,2006,12.8688816555772,13.6355406241909,-10.3071711042307,8.512672084,8.002569864,NA
DZA,2007,4.62770527736788,5.44303229493939,-19.7745387381367,10.24670106,7.33867822,NA
DZA,2008,7.78562080686411,8.31299088199227,-33.6448376863977,11.79848326,7.504216306,NA
DZA,2009,-6.5294446612198,-6.18666589500541,-36.1833070328568,10.55549972,10.11510888,NA
DZA,2010,-1.34721229552302,-1.09612183732339,-30.5615522016876,8.8707677,12.47821733,NA
DZA,2011,-1.05827624685472,-0.821618281571926,-28.4791128682977,9.122923921,12.22606072,NA
DZA,2012,-4.03642782882623,-3.79781521603969,-26.7223343786942,10.08849562,12.04507641,NA
DZA,2013,-0.788293149566111,-0.545805545324223,-27.4119551490611,7.776155768,15.60619695,NA
DZA,2014,-7.14496099853717,-6.94864614790925,-19.5093185832643,9.300053314,14.66798461,NA
DZA,2015,-13.8786086675557,-13.6532050781224,-6.75504944556337,10.51378876,13.91650579,NA
DZA,2016,-11.8470083098671,-11.6102789269906,11.786400788023,8.807422131,15.69388837,NA
DZA,2017,-7.54702430601563,-6.74463839007243,19.024262922638,8.464571884,16.54466845,NA
DZA,2018,-6.15400078778532,-5.70524529681807,23.1261571340573,7.503994231,17.97478598,NA
DZA,2019,-8.50854573081402,-8.01512645184081,27.0998728458125,9.192807177,16.33652452,NA
DZA,2020,-10.5181946969026,-9.69680448794582,38.7375070582934,NA,NA,NA
DZA,2021,-6.31666197939141,-5.74440093242985,45.4103519931491,NA,NA,NA
DZA,2022,-2.96250001404307,-1.8216965664325,35.6112741671057,NA,NA,NA
DZA,2023,-5.51572524694237,-4.34110477159634,32.6573257531966,NA,NA,NA
DZA,2024,-13.7912715747919,-12.6675114987328,41.7255745843183,NA,NA,NA
DZA,2025,-11.5431714686788,-10.513105498598,49.2603895555671,NA,NA,NA
ECU,1996,-3.44000739788969,0.255444879984233,NA,5.260651565,12.63314651,NA
ECU,1997,-2.82514580710732,1.0979312246294,NA,5.43870747,13.06073771,NA
ECU,1998,-5.0991748064482,-1.37179082350994,NA,5.502766601,13.21457232,NA
ECU,1999,-4.82486398090992,2.31083271176319,NA,4.319826331,10.37381032,NA
ECU,2000,-0.320323599301339,5.70910422967397,NA,4.490442242,11.85365151,NA
ECU,2001,0.0327101615935103,4.33981998746628,NA,6.177631553,12.71837605,NA
ECU,2002,0.738102337142108,3.84871504537307,NA,6.576192556,14.86032607,NA
ECU,2003,1.04531064300547,3.69202442361687,NA,6.122289327,14.82467723,NA
ECU,2004,1.94157641382955,4.20494567721445,NA,5.487064906,14.89260351,NA
ECU,2005,0.660886986008513,2.66365467587573,NA,4.913234057,16.52179839,NA
ECU,2006,2.92127077248165,4.88267781602318,NA,4.377189155,17.17685095,NA
